id , user1, user2
673 , 917822 , 13125
674 , 296775 , 643291
675 , 1999703 , 2994
676 , 1779758 , 802
677 , 1713125 , 7009
678 , 616991 , 281395
679 , 639305 , 420
680 , 1219040 , 7353
681 , 1085111 , 10305
682 , 1232406 , 10106
683 , 1653003 , 5861
684 , 1289683 , 981
685 , 1819106 , 756
686 , 60064 , 2036671
687 , 827628 , 8488
688 , 1078305 , 1504568
689 , 1663522 , 1985826
690 , 1195844 , 13954
691 , 989629 , 1136744
692 , 4800 , 1273831
693 , 33737 , 2584
694 , 4640 , 3871
695 , 1790917 , 1304
696 , 955 , 1479989
697 , 1895992 , 480
698 , 13984 , 128948
699 , 197559 , 9186
700 , 1668606 , 360
701 , 1253965 , 8604
702 , 1206867 , 9952
703 , 1088158 , 241740
704 , 820433 , 2018289
705 , 1639161 , 1690
706 , 1591362 , 3338
707 , 863081 , 1698235
708 , 371282 , 5412
709 , 1455421 , 4982
710 , 936968 , 4451
711 , 1856142 , 1500720
712 , 1537179 , 6795
713 , 247355 , 633621
714 , 767694 , 759
715 , 4517 , 129253
716 , 826907 , 1645976
717 , 127264 , 2012696
718 , 136474 , 361
719 , 1187104 , 7413
720 , 1109292 , 8888
721 , 1267 , 3328
722 , 1901929 , 1854754
723 , 1933302 , 567138
724 , 255211 , 12653
725 , 8929 , 1441765
726 , 1313790 , 605874
727 , 664609 , 6744
728 , 1179869 , 10188
729 , 437031 , 13254
730 , 221603 , 8993
731 , 779359 , 9004
732 , 163895 , 2507
733 , 793224 , 10833
734 , 247883 , 3154
735 , 1533070 , 5540
736 , 1476194 , 6407
737 , 364744 , 10990
738 , 1279417 , 618571
739 , 598473 , 3800
740 , 883977 , 1495508
741 , 180691 , 8928
742 , 917811 , 4579
743 , 1168466 , 8607
744 , 1680650 , 1186275
745 , 534521 , 228465
746 , 1647441 , 234972
747 , 4778 , 1768943
748 , 9141 , 808356
749 , 611396 , 1985
750 , 1713301 , 837184
751 , 1731815 , 9487
752 , 504029 , 1393
753 , 1939452 , 13910
754 , 1516360 , 1272743
755 , 1520877 , 6546
756 , 1263894 , 186
